X1,Thai_name,Thai_script,English_name,Image,Region,Description,Description2,major_grouping,minor_grouping
1,Bami mu daeng,บะหมี่หมูแดง,Egg noodle soup with,,,"['Originally a Chinese dish, it is now common in Thailand. Often served with chili peppers in vinegar, and dried chili flakes. The version shown in the photo also contains ', 'kiao kung', ' (', 'Thai', ': ', 'เกี๊ยวกุ้ง', '; prawn ', 'wontons', ').\n']","Originally a Chinese dish, it is now common in Thailand. Often served with chili peppers in vinegar, and dried chili flakes. The version shown in the photo also contains  kiao kung  ( Thai :  เกี๊ยวกุ้ง ; prawn  wontons ).",Individual dishes,Noodle dishes
2,Khanom chin kaeng khiao wan kai,ขนมจีนแกงเขียวหวานไก่,,,,"['This noodle dish consists of ', 'green chicken curry', ' served over ', 'khanom chin', ', fresh Thai rice noodles. It is usually accompanied by a selection of raw vegetables and herbs on the side. The chicken meat used in this particular version is ', 'chicken feet', '.\n']","This noodle dish consists of  green chicken curry  served over  khanom chin , fresh Thai rice noodles. It is usually accompanied by a selection of raw vegetables and herbs on the side. The chicken meat used in this particular version is  chicken feet .",Individual dishes,Noodle dishes
3,Khanom chin nam ngiao,ขนมจีนน้ำเงี้ยว,,,North,"['A speciality of Northern Thailand, it is Thai fermented rice noodles served with pork or chicken blood tofu in a sauce made with pork broth and tomato, crushed fried dry chili peppers, pork blood, dry fermented soy bean, and dried red kapok flowers.\n']","A speciality of Northern Thailand, it is Thai fermented rice noodles served with pork or chicken blood tofu in a sauce made with pork broth and tomato, crushed fried dry chili peppers, pork blood, dry fermented soy bean, and dried red kapok flowers.",Individual dishes,Noodle dishes
4,Khanom jeen nam yaa,ขนมจีนน้ำยา,,,Central,"['Thai rice noodles served with a fish based sauce called ', 'nam ya', '.\n']",Thai rice noodles served with a fish based sauce called  nam ya .,Individual dishes,Noodle dishes
5,Khanom chin sao nam,ขนมจีนซาวน้ำ,,,Central,"['Cold rice noodles served as a salad with thick coconut milk, finely chopped pineapple, sliced raw garlic and Thai chili peppers, pounded dried prawns, shredded ginger, lime juice, fish sauce, and sugar.\n']","Cold rice noodles served as a salad with thick coconut milk, finely chopped pineapple, sliced raw garlic and Thai chili peppers, pounded dried prawns, shredded ginger, lime juice, fish sauce, and sugar.",Individual dishes,Noodle dishes
6,Khao soi,ข้าวซอย,Northern Thai curry noodles,,North,"['Boiled as well as crispy fried egg noodles (', 'bami', ') are served in a curry soup. The version with chicken is called ', 'khao soi kai', ', with beef it is called ', 'khao soi nuea', '.\n']","Boiled as well as crispy fried egg noodles ( bami ) are served in a curry soup. The version with chicken is called  khao soi kai , with beef it is called  khao soi nuea .",Individual dishes,Noodle dishes
7,Khao soi Mae Sai,ข้าวซอยแม่สาย,,,North,"['Khao soi Mae Sai', ' is the name in ', 'Chiang Mai', ' of a certain type of ', 'khao soi', ' that is more common in ', 'Chiang Rai province', ', in the area along the border with Burma and Laos (', 'Mae Sai', ' is a border town in Chiang Rai province). It is a spicy soup-like dish, similar to the broth used in ', 'khanom chin nam ngiao', ', containing soft, wide rice noodles, pork ribs, congealed pork blood, and minced pork. Tomatoes and fermented soy bean give it its specific taste. Sliced raw cabbage and bean sprouts are served on the side.\n']","Khao soi Mae Sai  is the name in  Chiang Mai  of a certain type of  khao soi  that is more common in  Chiang Rai province , in the area along the border with Burma and Laos ( Mae Sai  is a border town in Chiang Rai province). It is a spicy soup-like dish, similar to the broth used in  khanom chin nam ngiao , containing soft, wide rice noodles, pork ribs, congealed pork blood, and minced pork. Tomatoes and fermented soy bean give it its specific taste. Sliced raw cabbage and bean sprouts are served on the side.",Individual dishes,Noodle dishes
8,Khao soi nam na,ข้าวซอยน้ำหน้า,,,North,"['Somewhat similar to ', 'khao soi Mae Sai', ', this variant from the eastern part of ', 'Chiang Rai Province', ' is made with wide rice noodles in a clear pork broth. A spoonful of ', 'nam phrik ong', ' (a sauce made from minced pork, tomato, fermented soy bean or shrimp paste, and dried chili peppers) is heaped on top of the noodles (', 'nam na', ' literally means ""with sauce on top"").\n']","Somewhat similar to  khao soi Mae Sai , this variant from the eastern part of  Chiang Rai Province  is made with wide rice noodles in a clear pork broth. A spoonful of  nam phrik ong  (a sauce made from minced pork, tomato, fermented soy bean or shrimp paste, and dried chili peppers) is heaped on top of the noodles ( nam na  literally means ""with sauce on top"").",Individual dishes,Noodle dishes
9,Kuaichap,กวยจั๊บ,,,,"['Originally a ', 'Teochew', ' Chinese dish (', 'Chinese', ': ', '粿汁', '), it is a soup of pork broth with rolled up rice noodle sheets (resulting in rolls about the size of Italian penne), pork intestines, ""blood tofu"", and boiled egg.\n']","Originally a  Teochew  Chinese dish ( Chinese :  粿汁 ), it is a soup of pork broth with rolled up rice noodle sheets (resulting in rolls about the size of Italian penne), pork intestines, ""blood tofu"", and boiled egg.",Individual dishes,Noodle dishes
10,Kuai-tiao nam,ก๋วยเตี๋ยวน้ำ,Wide rice noodle soup,,,"['A soup of ', 'wide rice noodles', ', often with minced pork, ', 'pork balls', ' or ', 'fish balls', '.\n']","A soup of  wide rice noodles , often with minced pork,  pork balls  or  fish balls .",Individual dishes,Noodle dishes
11,Kuai-tiao nuea pueai,ก๋วยเตี๋ยวเนื้อเปื่อย,,,,"['A beef noodle soup with slices of very tender beef (', 'nuea pueay', ').\n']",A beef noodle soup with slices of very tender beef ( nuea pueay ).,Individual dishes,Noodle dishes
12,Kuai-tiao phat khi mao,ก๋วยเตี๋ยวผัดขี้เมา,Drunken noodles,,,['Spicy fried wide rice noodles.\n'],Spicy fried wide rice noodles.,Individual dishes,Noodle dishes
13,Kuai-tiao rat na,ก๋วยเตี๋ยวราดหน้า,Wide rice noodles in gravy,,Central,"['Fried ', 'wide rice noodles', ' with beef, pork, chicken, or seafood in a thickened gravy.\n']","Fried  wide rice noodles  with beef, pork, chicken, or seafood in a thickened gravy.",Individual dishes,Noodle dishes
14,Kuai-tiao ruea,ก๋วยเตี๋ยวเรือ,Boat noodles,,Central,"['Rice noodles with beef or pork (and sometimes offal) in a brown broth which contains ', 'cinnamon', ', ', 'star anise', ' and sometimes blood. It is spicy and sour.\n']","Rice noodles with beef or pork (and sometimes offal) in a brown broth which contains  cinnamon ,  star anise  and sometimes blood. It is spicy and sour.",Individual dishes,Noodle dishes
15,Mi krop,[หมี่กรอบ,Thai crispy fried noodles,,,['Deep fried rice vermicelli with a sweet and sour sauce.\n'],Deep fried rice vermicelli with a sweet and sour sauce.,Individual dishes,Noodle dishes
16,Phat Mama,ผัดมาม่า,,,,"['Mama', ' (', 'Thai', ': ', 'มาม่า', ') is the most popular brand of instant noodles in Thailand and the brand name is commonly used, instead of the generic ', 'bami kueng samret rup', ' (', 'Thai', ': ', 'บะหมี่กึ่งสำเร็จรูป', '), to designate instant noodles. The particular version in the image has been stir-fried ""', 'drunken noodle', '""-style.\n']","Mama  ( Thai :  มาม่า ) is the most popular brand of instant noodles in Thailand and the brand name is commonly used, instead of the generic  bami kueng samret rup  ( Thai :  บะหมี่กึ่งสำเร็จรูป ), to designate instant noodles. The particular version in the image has been stir-fried "" drunken noodle ""-style.",Individual dishes,Noodle dishes
17,Phat si-io,ผัดซีอิ๊ว,Noodles stir-fried with soy sauce,,,"['Usually wide rice noodles fried with chicken or pork, and soy sauce.\n']","Usually wide rice noodles fried with chicken or pork, and soy sauce.",Individual dishes,Noodle dishes
18,Phat Thai,ผัดไทย,Pad Thai,,,"['Stir fried medium size rice noodles (', 'sen lek', ') with fish sauce, sugar, lime juice or tamarind pulp, ground peanuts, egg, bean sprouts, and ', 'Chinese chives', ' (', 'kuichai', '), combined with pork, chicken, seafood, or tofu.\n']","Stir fried medium size rice noodles ( sen lek ) with fish sauce, sugar, lime juice or tamarind pulp, ground peanuts, egg, bean sprouts, and  Chinese chives  ( kuichai ), combined with pork, chicken, seafood, or tofu.",Individual dishes,Noodle dishes
19,Phat wun sen,ผัดวุ้นเส้น,Stir-fried,,,"['Glass noodles are stir-fried with egg and vegetables, and a variety of ingredients such as meat, seafood, or with vegetarian alternatives.\n']","Glass noodles are stir-fried with egg and vegetables, and a variety of ingredients such as meat, seafood, or with vegetarian alternatives.",Individual dishes,Noodle dishes
20,Sapaketti phat khi mao,สปาเกตตีผัดขี้เมา,,,,"['A Thai ', 'fusion dish', ' where the name literally means spaghetti fried ""shit-drunk"" (', 'khi mao', ' = extremely drunk). An explanation is that any dish fried this way is easy to make, spicy, and uses whatever ingredients are available at that time; great after a night out drinking when still hungry.\n']","A Thai  fusion dish  where the name literally means spaghetti fried ""shit-drunk"" ( khi mao  = extremely drunk). An explanation is that any dish fried this way is easy to make, spicy, and uses whatever ingredients are available at that time; great after a night out drinking when still hungry.",Individual dishes,Noodle dishes
21,Tom yam boran,ต้มยำโบราณ,,,Central,"['Tom yam boran', ' is noodles served in a thick spicy sour sauce or broth, with crushed dried chili peppers, chopped peanuts, and blanched vegetables such as bean sprouts. This version is ', 'bami mu tom yam boran', ': with egg noodles and pork.\n']","Tom yam boran  is noodles served in a thick spicy sour sauce or broth, with crushed dried chili peppers, chopped peanuts, and blanched vegetables such as bean sprouts. This version is  bami mu tom yam boran : with egg noodles and pork.",Individual dishes,Noodle dishes
22,Yentafo,เย็นตาโฟ,,,,"['The Thai version of the Chinese noodle dish ', 'Yong Tau Foo', ' is slightly sweet, sour, salty, and spicy.\n']","The Thai version of the Chinese noodle dish  Yong Tau Foo  is slightly sweet, sour, salty, and spicy.",Individual dishes,Noodle dishes
23,Yum kanom jeen,ยำขนมจีน,,,,"['Yum kanomjeen is a spicy and sour salad mixed with kanom jeen. Kanom jeen is thin rice noodles which are made from fresh rice sometimes fermented rice starch, fermented for few days, boiled and then made into noodles. The original kanom jeen came from the Mon people. The main ingredients of Yum kanom jeen are fish sauce, sugar, lime juice, and chili powder. Some places will add pla ra to Yum kanom jeen too. Pla ra is the Thai traditional ingredient produced by fermented fish. Yum kanom jeen has a good spicy and sour taste, but many people would like to order the flavor that they like. Yum kanom jeen is a low- calorie food and it has only 220 calories per dish. To suit for people who are healthy and want to diet. Yum kanom jeen is not difficult to find. It can be found in either restaurant or street food.\n']","Yum kanomjeen is a spicy and sour salad mixed with kanom jeen. Kanom jeen is thin rice noodles which are made from fresh rice sometimes fermented rice starch, fermented for few days, boiled and then made into noodles. The original kanom jeen came from the Mon people. The main ingredients of Yum kanom jeen are fish sauce, sugar, lime juice, and chili powder. Some places will add pla ra to Yum kanom jeen too. Pla ra is the Thai traditional ingredient produced by fermented fish. Yum kanom jeen has a good spicy and sour taste, but many people would like to order the flavor that they like. Yum kanom jeen is a low- calorie food and it has only 220 calories per dish. To suit for people who are healthy and want to diet. Yum kanom jeen is not difficult to find. It can be found in either restaurant or street food.",Individual dishes,Noodle dishes
0,Chim chum,จิ้มจุ่ม,,,,"['A Thai style hot pot served in an ', 'earthenware', ' pot where the ingredients (meats, vegetables, mushrooms, noodles) are cooked in a clear herb broth of lemongrass, galangal, and ', 'kaffir lime', ' leaves. Additionally, the broth can contain other herbs such as ', 'kaphrao', ' (', 'Thai holy basil', '), spices such as chillies, or in addition be partially meat based, using pork ribs for instance as one of the base ingredients. It is served with one or more ', 'nam chim', ' (dipping sauces).\n']","A Thai style hot pot served in an  earthenware  pot where the ingredients (meats, vegetables, mushrooms, noodles) are cooked in a clear herb broth of lemongrass, galangal, and  kaffir lime  leaves. Additionally, the broth can contain other herbs such as  kaphrao  ( Thai holy basil ), spices such as chillies, or in addition be partially meat based, using pork ribs for instance as one of the base ingredients. It is served with one or more  nam chim  (dipping sauces).",Individual dishes,Misc Indiv
1,Kaolao,เกาเหลา,,,,"['A soup of Chinese origin, usually containing offal, often pork liver and intestines, also boiled eggs, and other meats such as crispy pork. Alternatively, at regular noodle soup shops, it can also be as a regular Thai-Chinese noodle soup but then served without any noodles.\n']","A soup of Chinese origin, usually containing offal, often pork liver and intestines, also boiled eggs, and other meats such as crispy pork. Alternatively, at regular noodle soup shops, it can also be as a regular Thai-Chinese noodle soup but then served without any noodles.",Individual dishes,Misc Indiv
2,Khao soi noi songkhrueang,ข้าวซอยน้อยทรงเครื่อง,,,,"['Colloquially also known as ', 'pizza doi', ' (Thai: พิซซาดอย, literally: ""mountain pizza""). This is a dish of ', 'Shan people', '. This version uses steamed egg and vegetables as the filling for the steamed rice wrap. The whole is dusted with crushed peanuts.\n']","Colloquially also known as  pizza doi  (Thai: พิซซาดอย, literally: ""mountain pizza""). This is a dish of  Shan people . This version uses steamed egg and vegetables as the filling for the steamed rice wrap. The whole is dusted with crushed peanuts.",Individual dishes,Misc Indiv
3,Mu kratha,หมูกระทะ,,,,"['Mu kratha', ' resembles a combination of a ', 'Korean barbecue', ' and a Chinese ', 'hot pot', '. Meat (most often pork) is grilled in the center while the vegetables and other ingredients, such as ', 'fish balls', ', cook in the soup. It is served with a variety of ', 'nam chim', ' (Thai dipping sauces).\n']","Mu kratha  resembles a combination of a  Korean barbecue  and a Chinese  hot pot . Meat (most often pork) is grilled in the center while the vegetables and other ingredients, such as  fish balls , cook in the soup. It is served with a variety of  nam chim  (Thai dipping sauces).",Individual dishes,Misc Indiv
4,Nam phrik kapi kap pla thu thot,น้ำพริกกะปิกับปลาทูทอด,,,,"['Fried ', 'pla thu', ' served with ', 'nam phrik', ' kapi', ', a pungent dip made mainly from ', 'shrimp paste', ' and chili peppers, and raw, steamed, and/or fried vegetables (often pieces of ', 'cha-om', ' omelette). It is eaten with ', 'khanom chin', ' (Thai rice noodles) or steamed rice. Although the name of this dish is often shortened to ', 'nam phrik pla thu', ', this refers to a certain type of chili paste in which ', 'pla thu', ' is used as an ingredient.\n']","Fried  pla thu  served with  nam phrik  kapi , a pungent dip made mainly from  shrimp paste  and chili peppers, and raw, steamed, and/or fried vegetables (often pieces of  cha-om  omelette). It is eaten with  khanom chin  (Thai rice noodles) or steamed rice. Although the name of this dish is often shortened to  nam phrik pla thu , this refers to a certain type of chili paste in which  pla thu  is used as an ingredient.",Individual dishes,Misc Indiv
5,Pathongko,ปาท่องโก๋,,,,"['The Thai version of the Chinese ', 'crullers', ' called ', 'youtiao', ', they tend to be smaller than the Chinese original. Most often eaten with sweetened condensed milk or with Thai ', 'coconut jam', ', they can also be served with ', 'chok', ', Thai rice ', 'congee', '.\n']","The Thai version of the Chinese  crullers  called  youtiao , they tend to be smaller than the Chinese original. Most often eaten with sweetened condensed milk or with Thai  coconut jam , they can also be served with  chok , Thai rice  congee .",Individual dishes,Misc Indiv
6,Suki,สุกี้,Thai suki,,,"['A Thai variant of the Chinese ', 'hot pot', ', it is mainly eaten as a meal on its own.\n']","A Thai variant of the Chinese  hot pot , it is mainly eaten as a meal on its own.",Individual dishes,Misc Indiv
0,Chin hum,จิ๊นฮุ่ม,,,North,['It is a slowly stewed meat curry from northern Thailand. This particular version is made with beef.\n'],It is a slowly stewed meat curry from northern Thailand. This particular version is made with beef.,Shared dishes,Curries
1,Chuchi pla kaphong,ฉู่ฉี่ปลากะพง,,,Central,"['A semi-dry red curry with fried ', 'Snapper', '.\n']",A semi-dry red curry with fried  Snapper .,Shared dishes,Curries
2,Chuchi pla thu sot,ฉู่ฉี่ปลาทูสด,,,South,"['A semi-dry curry made with fresh (i.e. unsteamed and unsalted) ', 'pla thu', ' (', 'Rastrelliger brachysoma', '). The version in the image was made at a southern Thai restaurant.\n']",A semi-dry curry made with fresh (i.e. unsteamed and unsalted)  pla thu  ( Rastrelliger brachysoma ). The version in the image was made at a southern Thai restaurant.,Shared dishes,Curries
3,Kaeng cha-om,แกงชะอม,,,North,"['A northern ', 'Thai curry', ' with cha-om (the young leaves of the ', 'Acacia pennata', ') and dried fish. This particular version also contained a mix of different types of mushroom.\n']",A northern  Thai curry  with cha-om (the young leaves of the  Acacia pennata ) and dried fish. This particular version also contained a mix of different types of mushroom.,Shared dishes,Curries
4,Kaeng fak sai kai,แกงฟักใส่ไก่,,,North,"['A northern Thai curry made with ', 'winter melon', ' and chicken. It is also known under the name ', 'kaeng fak khio', '.\n']",A northern Thai curry made with  winter melon  and chicken. It is also known under the name  kaeng fak khio .,Shared dishes,Curries
5,Kaeng dok salae,แกงดอกสะแล,,,North,"['A northern Thai curry that is made from the unopened flower buds of the shrub ', 'Broussonetia kurzii', ' (J. D. Hooker) Corner. These flower buds are available in northern Thailand only from mid-February until late March.\n']",A northern Thai curry that is made from the unopened flower buds of the shrub  Broussonetia kurzii  (J. D. Hooker) Corner. These flower buds are available in northern Thailand only from mid-February until late March.,Shared dishes,Curries
6,Kaeng hangle,แกงฮังเล,,,North,"['A Burmese influenced curry of stewed meat (usually pork), peanuts, dried chili peppers and tamarind juice but without coconut milk. Thin strips of fresh ginger are added in before serving.\n']","A Burmese influenced curry of stewed meat (usually pork), peanuts, dried chili peppers and tamarind juice but without coconut milk. Thin strips of fresh ginger are added in before serving.",Shared dishes,Curries
7,Kaeng het,แกงเห็ด,,,North,['A northern Thai curry made with pork and a variety of mushrooms.\n'],A northern Thai curry made with pork and a variety of mushrooms.,Shared dishes,Curries
8,Kaeng ho,แกงโฮะ,,,North,"['A Northern Thai dish where one or more types of curry are refried with glass noodles and other ingredients such as kaffir lime leaves, lemongrass, and bamboo shoots. At least one of the curries used in this recipe should be the Northern Thai pork curry called ', 'kaeng hangle', '.\n']","A Northern Thai dish where one or more types of curry are refried with glass noodles and other ingredients such as kaffir lime leaves, lemongrass, and bamboo shoots. At least one of the curries used in this recipe should be the Northern Thai pork curry called  kaeng hangle .",Shared dishes,Curries
9,Kaeng kari,แกงกะหรี่,Yellow curry,,,"['It is a Thai-Muslim dish which is mostly known in the West as ""Thai yellow curry"". It is of Indian origin and is often made with chicken and potatoes. It can also be made with other meats or seafood.\n']","It is a Thai-Muslim dish which is mostly known in the West as ""Thai yellow curry"". It is of Indian origin and is often made with chicken and potatoes. It can also be made with other meats or seafood.",Shared dishes,Curries
10,Kaeng khae,แกงแค,,,North,"['A spicy curry of herbs, vegetables, ', 'cha-om', ' leaves (a kind of acacia tree), and meat (chicken, water buffalo, pork, or frog meat). It does not contain any coconut milk.\n']","A spicy curry of herbs, vegetables,  cha-om  leaves (a kind of acacia tree), and meat (chicken, water buffalo, pork, or frog meat). It does not contain any coconut milk.",Shared dishes,Curries
11,Kaeng khanun,แกงขนุน,,,North,"['A northern Thai curry made with boiled whole ', 'jackfruit', ', pork, tomatoes, and chopped ', 'chakhan', ' (', 'Piper interruptum', '; ""pepper vine"").\n']","A northern Thai curry made with boiled whole  jackfruit , pork, tomatoes, and chopped  chakhan  ( Piper interruptum ; ""pepper vine"").",Shared dishes,Curries
12,Kaeng khiao wan,แกงเขียวหวาน,Green curry,,Central,"['A coconut curry made with fresh green chili peppers and flavored with Thai basil, usually with chicken (', 'kaeng khiao wan kai', ') or ', 'fish balls', '.\n']","A coconut curry made with fresh green chili peppers and flavored with Thai basil, usually with chicken ( kaeng khiao wan kai ) or  fish balls .",Shared dishes,Curries
